name	type	address	mapsUrl	description	image
La Escarcha	Taberna oficial	Madrid	https://share.google/xyw5hfASSQ9S8rWAo	Territorio clásico de batalla musística.	
Urumea	Restaurante	Madrid	https://share.google/LciTNQjVFdbsnIvA6	Sede elegante para jornadas largas.	
